well,md_ft,core_phi (v/v),core_k (mD),grain_den (g/cc)
Torrance 7,3712.3,0.1789,2.08,2.674
Torrance 7,3713.3,0.1745,0.292,2.662
Torrance 7,3714.3,0.1435,0.0988,2.67
Torrance 7,3715.3,0.1523,0.0897,2.675
Torrance 7,3716.3,0.1386,0.249,2.671
Torrance 7,3717.3,0.1448,0.0682,2.674
Torrance 7,3718.3,0.1627,0.615,2.677
Torrance 7,3719.3,0.1479,0.663,2.68
Torrance 7,3720.3,0.1617,1.44,2.679
Torrance 7,3721.3,0.156,0.144,2.68
Torrance 7,3722.3,0.1731,1.37,2.68
Torrance 7,3723.3,0.1657,0.491,2.672
Torrance 7,3724.3,0.1901,0.581,2.686
Torrance 7,4464.3,0.1426,0.127,2.659
Torrance 7,4465.3,0.1718,6.74,2.677
Torrance 7,4466.3,0.1761,2.84,2.668
Torrance 7,4467.3,0.2129,13.6,2.665
Torrance 7,4468.3,0.1976,2.33,2.675
Torrance 7,4469.3,0.1864,3,2.662
Torrance 7,4470.3,0.1902,3.79,2.658
Torrance 7,4471.3,0.1832,4.36,2.68
Torrance 7,4472.3,0.1872,1.02,2.682
Torrance 7,4473.3,0.1469,0.317,2.681
Torrance 7,4474.3,0.1681,1.48,2.67
Torrance 7,4475.3,0.1414,0.114,2.688
Torrance 7,4476.3,0.1257,0.217,2.677
Torrance 7,4477.3,0.1356,0.467,2.697
Torrance 7,4478.3,0.1182,0.022,2.689
Torrance 7,4479.3,0.154,0.583,2.672
Torrance 7,4480.3,0.1655,0.693,2.67
Torrance 7,4481.3,0.2077,31.3,2.649
Torrance 7,4482.3,0.1929,2.6,2.653
Torrance 7,4483.3,0.2076,13.3,2.66
Torrance 7,4484.3,0.2036,30.3,2.651
Torrance 7,4485.3,0.209,11.8,2.66
Torrance 7,4486.3,0.1998,6.38,2.667
Torrance 7,4487.3,0.1868,3.49,2.667
Torrance 7,4488.3,0.1775,22,2.658
Torrance 7,4489.3,0.1974,6.8,2.652
Torrance 7,4490.3,0.2133,34.2,2.653
Torrance 7,4491.3,0.1984,8.29,2.654
Torrance 7,4492.3,0.219,30.2,2.655
Torrance 7,4493.3,0.2098,24.7,2.648
Torrance 7,4494.3,0.2159,19.8,2.678
Torrance 7,4495.3,0.2193,13.9,2.669
Torrance 7,4496.3,0.1931,40.8,2.667
Torrance 7,4497.3,0.1998,17.9,2.66
Torrance 7,4498.3,0.2102,8.14,2.657
Dominguez 22,3983.3,0.2254,21.7,2.662
Dominguez 22,3984.3,0.1684,1.38,2.679
Dominguez 22,3985.3,0.1795,5.18,2.675
Dominguez 22,3986.3,0.2354,21.3,2.671
Dominguez 22,3987.3,0.188,5.08,2.674
Dominguez 22,3988.3,0.2044,7.26,2.667
Dominguez 22,3989.3,0.213,4.13,2.667
Dominguez 22,3990.3,0.1996,3.53,2.654
Dominguez 22,3991.3,0.1939,9.13,2.666
Dominguez 22,3992.3,0.1899,60.3,2.664
Dominguez 22,3993.3,0.2327,25,2.663
Dominguez 22,3994.3,0.2185,6.75,2.657
Dominguez 22,3995.3,0.2374,34.6,2.67
Dominguez 22,3996.3,0.2576,105,2.653
Dominguez 22,3997.3,0.2176,9.42,2.669
Dominguez 22,3998.3,0.2191,66.4,2.671
Dominguez 22,3999.3,0.238,15.7,2.66
Dominguez 22,4000.3,0.2312,43.6,2.678
Dominguez 22,4001.3,0.2085,8.1,2.665
Dominguez 22,4002.3,0.2344,23,2.662
Dominguez 22,4003.3,0.2164,103,2.658
Dominguez 22,4004.3,0.2217,12.9,2.67
Dominguez 22,4005.3,0.2364,39.1,2.661
Dominguez 22,4006.3,0.2395,35.4,2.664
Dominguez 22,4007.3,0.2384,126,2.656
Dominguez 22,4008.3,0.2227,38.8,2.671
Dominguez 22,4009.3,0.2162,25.9,2.657
Dominguez 22,4010.3,0.225,46.3,2.671
Dominguez 22,4011.3,0.241,31.4,2.645
Dominguez 22,4012.3,0.2384,15.9,2.683
Dominguez 22,4013.3,0.2387,47.5,2.674
Dominguez 22,4014.3,0.2085,52.3,2.671
Dominguez 22,4015.3,0.2048,5.36,2.66
Dominguez 22,4016.3,0.2323,2.79,2.675
Dominguez 22,4017.3,0.1913,4.15,2.645
Dominguez 22,4018.3,0.2305,29.6,2.665
Dominguez 22,4019.3,0.1999,7.51,2.683
Dominguez 22,4685.3,0.1459,0.092,2.679
Dominguez 22,4686.3,0.1286,0.129,2.669
Dominguez 22,4687.3,0.1354,0.114,2.68
Dominguez 22,4688.3,0.1367,0.067,2.685
Dominguez 22,4689.3,0.1187,0.0866,2.691
Dominguez 22,4690.3,0.1325,0.103,2.693
Dominguez 22,4691.3,0.1452,1.05,2.674
Dominguez 22,4692.3,0.1381,0.585,2.69
Dominguez 22,4693.3,0.1192,0.14,2.678
Dominguez 22,4694.3,0.1269,0.286,2.668
Dominguez 22,4695.3,0.1153,0.0546,2.662
Dominguez 22,4696.3,0.1411,0.205,2.677
Dominguez 22,4697.3,0.1362,0.207,2.678
Dominguez 22,4698.3,0.1161,0.216,2.69
Dominguez 22,4699.3,0.1186,0.0633,2.666
Dominguez 22,4700.3,0.1436,0.403,2.687
Dominguez 22,4701.3,0.1217,0.0945,2.682
Dominguez 22,4702.3,0.156,0.0542,2.686
Dominguez 22,4703.3,0.1311,0.0936,2.645
Dominguez 22,4704.3,0.1197,0.0535,2.672
Dominguez 22,4705.3,0.108,0.0646,2.668
Dominguez 22,4706.3,0.1274,0.319,2.671
Dominguez 22,4707.3,0.1957,11.3,2.667
Dominguez 22,4708.3,0.1881,5.18,2.655
Dominguez 22,4709.3,0.2013,9.25,2.659
Dominguez 22,4710.3,0.1658,1.45,2.653
Dominguez 22,4711.3,0.1768,8.59,2.678
Dominguez 22,4712.3,0.1788,2.3,2.673
Dominguez 22,4713.3,0.1816,10.1,2.672
Dominguez 22,4714.3,0.1959,30,2.655
Dominguez 22,4715.3,0.1765,18.1,2.674
Dominguez 22,4716.3,0.1962,2.56,2.65
Dominguez 22,4717.3,0.1363,0.512,2.676
Dominguez 22,4718.3,0.1544,0.488,2.66
Dominguez 22,4719.3,0.1557,0.286,2.683
Long Beach 3-B,4066.3,0.2366,83.8,2.65
Long Beach 3-B,4067.3,0.2414,131,2.651
Long Beach 3-B,4068.3,0.2211,6.81,2.658
Long Beach 3-B,4069.3,0.2128,126,2.664
Long Beach 3-B,4070.3,0.2354,23.6,2.659
Long Beach 3-B,4071.3,0.2089,33.6,2.662
Long Beach 3-B,4072.3,0.2489,199,2.659
Long Beach 3-B,4073.3,0.2208,9.11,2.659
Long Beach 3-B,4074.3,0.2069,17.2,2.669
Long Beach 3-B,4075.3,0.2208,20.4,2.66
Long Beach 3-B,4076.3,0.2269,156,2.66
Long Beach 3-B,4077.3,0.2026,1.52,2.661
Long Beach 3-B,4078.3,0.2267,29.8,2.651
Long Beach 3-B,4079.3,0.2037,5.02,2.663
Long Beach 3-B,4080.3,0.2199,17.1,2.671
Long Beach 3-B,4081.3,0.219,14.3,2.653
Long Beach 3-B,4082.3,0.2024,4.42,2.657
Long Beach 3-B,4083.3,0.2335,36.7,2.651
Long Beach 3-B,4084.3,0.2177,50.7,2.679
Long Beach 3-B,4085.3,0.2097,8.34,2.669
Long Beach 3-B,4086.3,0.2149,6.78,2.654
Long Beach 3-B,4087.3,0.184,8.78,2.645
Long Beach 3-B,4088.3,0.2132,8,2.657
Long Beach 3-B,4089.3,0.206,39.3,2.66
Long Beach 3-B,4090.3,0.1929,4.99,2.669
Long Beach 3-B,4091.3,0.2147,22.1,2.66
Long Beach 3-B,4092.3,0.205,5.52,2.65
Long Beach 3-B,4093.3,0.1682,3.9,2.67
Long Beach 3-B,4094.3,0.1718,2.59,2.677
Long Beach 3-B,4095.3,0.1703,1.54,2.674
Long Beach 3-B,4096.3,0.1993,1.26,2.663
Long Beach 3-B,4097.3,0.1851,1.69,2.66
Long Beach 3-B,4098.3,0.2042,13.1,2.673
Long Beach 3-B,4099.3,0.196,3.8,2.682
Long Beach 3-B,4100.3,0.1835,1.69,2.656
Long Beach 3-B,4101.3,0.2262,10.3,2.675
Long Beach 3-B,4102.3,0.2075,2.32,2.667
Long Beach 3-B,4103.3,0.2033,6.14,2.672
Long Beach 3-B,4104.3,0.1827,7.48,2.67
Long Beach 3-B,4603.3,0.1938,4.82,2.668
Long Beach 3-B,4604.3,0.1901,3.4,2.659
Long Beach 3-B,4605.3,0.1819,2.48,2.665
Long Beach 3-B,4606.3,0.1712,0.676,2.661
Long Beach 3-B,4607.3,0.1535,0.164,2.675
Long Beach 3-B,4608.3,0.1454,0.586,2.675
Long Beach 3-B,4609.3,0.1365,1.39,2.677
Long Beach 3-B,4610.3,0.1418,0.138,2.682
Long Beach 3-B,4611.3,0.1526,0.53,2.68
Long Beach 3-B,4612.3,0.1208,0.0763,2.685
Long Beach 3-B,4613.3,0.1136,0.192,2.678
Long Beach 3-B,4614.3,0.1528,3.07,2.684
Long Beach 3-B,4615.3,0.1557,0.618,2.674
Long Beach 3-B,4616.3,0.1305,0.428,2.682
Long Beach 3-B,4617.3,0.1221,0.235,2.694
Long Beach 3-B,4618.3,0.1399,0.109,2.679
Long Beach 3-B,4619.3,0.1411,0.707,2.671
Long Beach 3-B,4620.3,0.1443,0.269,2.678
Long Beach 3-B,4621.3,0.1443,0.912,2.672
Long Beach 3-B,4622.3,0.1348,0.544,2.653
Long Beach 3-B,4623.3,0.1454,0.104,2.655
Long Beach 3-B,4624.3,0.1431,0.158,2.672
Long Beach 3-B,4625.3,0.1574,0.341,2.671
Long Beach 3-B,4626.3,0.1202,0.31,2.667
Long Beach 3-B,4627.3,0.1219,0.177,2.69
Long Beach 3-B,4628.3,0.1361,0.137,2.677
Long Beach 3-B,4629.3,0.1457,0.629,2.681
Long Beach 3-B,4630.3,0.138,0.0987,2.675
Long Beach 3-B,4631.3,0.1282,0.0782,2.691
Long Beach 3-B,4632.3,0.1306,0.279,2.679
Long Beach 3-B,4633.3,0.1448,0.099,2.678
Long Beach 3-B,4634.3,0.1287,0.555,2.669
Long Beach 3-B,4635.3,0.1503,0.21,2.69
Long Beach 3-B,4636.3,0.131,0.0653,2.681
Long Beach 3-B,4637.3,0.1497,0.115,2.697
Long Beach 3-B,4638.3,0.1607,0.419,2.667
Long Beach 3-B,4639.3,0.1708,0.646,2.68
